ID,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments
A1-6-1,1,1,6,Avalon,1,Jazz,Dec,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,1,4,0,1,nearly dead
A1-6-2,2,1,6,Avalon,1,Jazz,Dec,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,7,9,10,0,1,nearly dead
A1-6-3,3,1,6,Avalon,1,Jazz,Dec,0,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,6,17,7,0,1,nearly dead
A1-6-4,4,1,6,Avalon,1,Jazz,Dec,0,0,0,0,0,0,1,0,3,0,0,1,2,3,0,0,5,12,7,0,1,nearly dead
A1-6-5,5,1,6,Avalon,1,Jazz,Dec,0,0,0,0,0,0,1,3,2,0,0,2,5,2,0,0,4,11,11,0,1,nearly dead
A1-6-6,6,1,6,Avalon,1,Jazz,Dec,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,3,18,20,3,1,nearly dead
A1-6-7,7,1,6,Avalon,1,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,13,4,0,1,nearly dead
A1-6-8,8,1,6,Avalon,1,Jazz,Dec,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,0,6,19,20,0,1,nearly dead
A1-6-9,9,1,6,Avalon,1,Jazz,April,0,0,0,0,0,0,0,1,1,0,0,3,5,0,0,0,7,24,11,0,1,nearly dead
A1-6-10,10,1,6,Avalon,1,Jazz,April,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,14,14,0,1,nearly dead
A1-6-11,11,1,6,Avalon,1,Jazz,April,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,11,9,0,1,nearly dead
A1-6-12,12,1,6,Avalon,1,Jazz,April,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,7,4,0,1,nearly dead
A1-6-13,13,1,6,Avalon,1,Jazz,April,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,5,13,12,0,1,nearly dead
A1-6-14,14,1,6,Avalon,1,Jazz,April,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,15,10,0,1,nearly dead
A1-6-15,15,1,6,Avalon,1,Jazz,April,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,16,11,0,1,nearly dead
