code,id,tree,tree position,tree id,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments,,,,,,,,,
HMA12,A1-2,tree 1,93,A1-2-93,93,1,2,Avalon,1,Golden Delicious,April,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,top broken,0,,,,,,,,
HMA12,A1-2,tree 2,95,A1-2-95,95,1,2,Avalon,1,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken,0,,,,,,,,
HMA13,A1-3,tree 1,27,A1-3-27,27,1,3,Avalon,1,Grenadier,April,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,11,5,0,1,nearly dead,0,,,,,,,,
HMA13,A1-3,tree 2,28,A1-3-28,28,1,3,Avalon,1,Grenadier,April,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,4,2,0,1,nearly dead,0,,,,,,,,
HMA14,A1-4,tree 1,44,A1-4-44,44,1,4,Avalon,1,Gala,April,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,15,10,0,1,nearly dead,0,,,,,,,,
HMA14,A1-4,tree 2,46,A1-4-46,46,1,4,Avalon,1,Gala,April,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,10,11,0,0,1,nearly dead,0,,,,,,,,
HMA15,A1-5,tree 1,58,A1-5-58,58,1,5,Avalon,1,Braeburn,April,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"nearly dead, main trunk dead",0,,,,,,,,
HMA15,A1-5,tree 2,61,A1-5-61,61,1,5,Avalon,1,Braeburn,April,0,3,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,2,0,0,0,snapped,0,,,,,,,,
HMA16,A1-6,tree 1,12,A1-6-12,12,1,6,Avalon,1,Jazz,April,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,7,4,0,1,nearly dead,0,,,,,,,,
HMA16,A1-6,tree 2,14,A1-6-14,14,1,6,Avalon,1,Jazz,April,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,15,10,0,1,nearly dead,0,,,,,,,,
HMA17,A1-7,tree 1,73,A1-7-73,73,1,7,Avalon,1,Kanzi,April,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,7,NA,NA,NA,2,too dead,0,,,,,,,,
HMA17,A1-7,tree 2,74,A1-7-74,74,1,7,Avalon,1,Kanzi,April,0,1,0,0,0,0,1,3,3,0,0,4,3,0,0,0,6,NA,NA,NA,2,too dead,0,,,,,,,,
HMA18,A1-8,tree 1,106,A1-8-106,106,1,8,Avalon,1,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,top broken,0,,,,,,,,
HMA18,A1-8,tree 2,107,A1-8-107,107,1,8,Avalon,1,Rubens,April,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,top broken,0,,,,,,,,
HMA22,A2-2,tree 1,51,A2-2-51,51,2,2,Avalon,2,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,
HMA22,A2-2,tree 2,55,A2-2-55,55,2,2,Avalon,2,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,,,,,,,,
HMA23,A2-3,tree 1,83,A2-3-83,83,2,3,Avalon,2,Grenadier,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,
HMA23,A2-3,tree 2,86,A2-3-86,86,2,3,Avalon,2,Grenadier,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,
HMA24,A2-4,tree 1,69,A2-4-69,69,2,4,Avalon,2,Gala,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,1,0,0,0,,,,,,,,
HMA24,A2-4,tree 2,71,A2-4-71,71,2,4,Avalon,2,Gala,Dec,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,,,,,,,,
HMA25,A2-5,tree 1,4,A2-5-4,4,2,5,Avalon,2,Braeburn,Dec,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,19,19,0,0,0,0,,,,,,,,
HMA25,A2-5,tree 2,7,A2-5-7,7,2,5,Avalon,2,Braeburn,Dec,0,0,0,0,0,0,1,3,0,0,0,2,3,0,0,0,11,34,24,0,0,0,top snapped,,,,,,,,
HMA26,A2-6,tree 1,19,A2-6-19,19,2,6,Avalon,2,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,
HMA26,A2-6,tree 2,21,A2-6-21,21,2,6,Avalon,2,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
HMA27,A2-7,tree 1,105,A2-7 (GD)-105,105,2,7 (GD),Avalon,2,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,
HMA27,A2-7,tree 2,106,A2-7 (GD)-106,106,2,7 (GD),Avalon,2,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,10,9,0,0,0,0,,,,,,,,
HMA28,A2-8,tree 1,33,A2-8-33,33,2,8,Avalon,2,Rubens,Dec,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,,,,,,,,
HMA28,A2-8,tree 2,38,A2-8-38,38,2,8,Avalon,2,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,,,,,,,,
HMA32,A3-2,tree 1,4,A3-2-4,4,3,2,Avalon,3,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,4,17,6,0,0,0,0,,,,,,,,
HMA32,A3-2,tree 2,8,A3-2-8,8,3,2,Avalon,3,Golden Delicious,Dec,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3,18,17,0,0,0,0,,,,,,,,
HMA33,A3-3,tree 1,97,A3-3-97,97,3,3,Avalon,3,Grenadier,Dec,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,,,,,,,,
