Target,Sample,N,Efficiency,MeanTCN,MeanAdjustedTCN,MeanAdjustedTCN_mg,StdTCN,StdAdjustedTCN,StdAdjustedTCN_mg,MedTCN,MedAdjustedTCN,MedAdjustedTCN_mg
ITS,S3-5,6,1.9928449445226508,2.796388089971907e7,1.1129432781491606e7,3.2466256655459763e6,1.5819360579339843e6,594951.9658088806,173556.5827913887,2.7542576137284115e7,1.096158936641442e7,3.197663175733494e6
16S,S3-5,6,1.9009170295913114,8.147729146160927e7,1.8398085551007584e8,5.3670027861749075e7,4.1041624954256383e6,6.594133751152361e6,1.9236096123548325e6,8.135226463984218e7,1.822842374642642e8,5.317509844348431e7
ITS,S1-4,6,1.9260939911651063,3.698400251713195e7,3.0738588170691293e7,1.0725257561301915e7,376837.79863437195,274985.6690289462,95947.54676515897,3.695215414871484e7,3.066425652372522e7,1.0699321885458903e7
16S,S1-4,6,1.9300628928765668,1.1852874690370317e8,2.0573481130732402e8,7.178465153779624e7,4.572391083330888e6,6.217658423196837e6,2.169455137193594e6,1.1918416886337918e8,2.0582792692328066e8,7.18171412851642e7
ITS,S3-8,6,1.9657716088178145,2.629353787401612e7,1.400443586678089e7,3.916229269234029e6,1.1026194544589457e6,567911.7184757108,158812.00181088108,2.654732137365457e7,1.4149234660609946e7,3.956721101960275e6
16S,S3-8,6,1.933307846707816,6.759145201928397e7,1.1749313960212375e8,3.285602337866995e7,2.7504716864055446e6,3.973092825616936e6,1.111043855038291e6,6.82767083273386e7,1.16653739019282e8,3.262129167205872e7
ITS,S5-3,6,1.9208356175467722,3.903431533632747e7,3.43832937749371e7,1.0922266129268456e7,524130.2802309595,447878.65640495176,142274.03316548633,3.882941174747431e7,3.429007439762377e7,1.0892653874721654e7
16S,S5-3,6,1.873178372033998,9.54071497455035e7,2.6860800351750314e8,8.532655766121447e7,5.023522064992586e6,7.559409317655374e6,2.4013371402971353e6,9.324232673552307e7,2.6940407884321654e8,8.557944054740041e7
ITS,S2-3,6,1.9949860041468463,1.0984262124384369e8,4.68800020595415e7,1.3146383078951621e7,7.464216667425594e6,3.113271532554179e6,873043.0545580984,1.0978962204323712e8,4.7034683689867735e7,1.3189759868162572e7
ITS,S5-5,6,2.0677655670218167,4.062610854803197e7,1.5371497130257078e7,5.161684731449656e6,3.3311833735012487e6,1.1643479269758703e6,390983.1856869945,3.939051105492742e7,1.5011884849628665e7,5.040928424992835e6
16S,S2-3,6,1.9245533025554928,1.4218024441023138e8,2.5536939886280036e8,7.161228235075726e7,5.398491968909626e6,7.268964738307966e6,2.0384085076578723e6,1.4350743242718086e8,2.5701045155244815e8,7.207247659911613e7
16S,S5-5,6,1.869602048594774,8.475668507039778e7,2.4876566632023802e8,8.353447492284688e7,5.607244779436889e6,1.0912113700449556e7,3.664242344005893e6,8.292931478622787e7,2.4791392196668983e8,8.324846271547678e7
ITS,S5-6,6,1.9229165719855117,3.6165633136583716e7,3.1114684213628303e7,9.747708086976284e6,780197.8034667468,668373.8174531942,209390.29368834387,3.622835284857441e7,3.1168693944447108e7,9.7646284287115e6
16S,S5-6,6,1.9091762388182705,6.633021217105929e7,1.4167129465566602e8,4.438323767408083e7,2.3193510915784608e6,2.6693015171308536e6,836247.3424595405,6.659485026356017e7,1.4260064535340244e8,4.467438764204337e7
ITS,S5-7,6,2.0164149985349997,2.3504820668358516e7,8.553826035488993e6,3.2648190975148827e6,2.0056307419284359e6,730151.634319075,278683.82989277673,2.3958382893211402e7,8.858533009725135e6,3.381119469360739e6
16S,S5-7,6,2.0317240636387544,7.440464039391159e7,7.440464039391159e7,2.8398717707599837e7,1.6816224231474954e6,1.6816224231474954e6,641840.619521944,7.44466269578369e7,7.44466269578369e7,2.8414743113678202e7
ITS,S5-8,6,2.020804361994254,3.4481486547804244e7,1.2895783651857505e7,4.380361294788554e6,1.3356409997845022e6,325580.64202230796,110591.25068692521,3.3875197022445686e7,1.2879873621521648e7,4.374957072527735e6
16S,S5-8,6,1.9656791805718066,7.82633796982349e7,1.034049959738505e8,3.512397961068293e7,1.0840209274241752e6,805246.910651259,273521.36910708406,7.776293651226819e7,1.0334027655269903e8,3.510199611165048e7
ITS,S2-7,6,1.994282180834007,3.9516929731207006e7,1.5849908871492237e7,4.631767642166054e6,1.4107265775823842e6,439823.4271624539,128528.17859802853,3.9200101401384234e7,1.582211166718793e7,4.623644554993549e6
16S,S2-7,6,2.0275885681230124,1.2976275865560801e8,1.2976275865560801e8,3.792015156505201e7,6.813312479538685e6,6.813312479538685e6,1.9910322850785179e6,1.3019528481010716e8,1.3019528481010716e8,3.8046547285244636e7
ITS,S2-8,6,1.8767299817912335,5.486784133152334e7,7.796308325869666e7,2.5198152313735183e7,5.128006767945351e6,6.9745719890277935e6,2.2542249479727834e6,5.444234696653402e7,7.739768015160611e7,2.50154105208811e7
16S,S2-8,6,2.0095897400219496,1.440201506940275e8,1.440201506940275e8,4.6548206429873146e7,2.7462423261341304e6,2.7462423261341304e6,887602.561775738,1.429936769015798e8,1.429936769015798e8,4.621644373031021e7
ITS,A1-2,6,1.8907102559818758,4.799060148378142e7,5.927255051617854e7,2.103355234782773e7,2.139864948756528e6,2.487053623137905e6,882559.837877185,4.737910666644545e7,5.8503492839092016e7,2.076064330698794e7
ITS,A3-4,6,1.9425653540434176,7.582615373760894e7,5.2949970694001324e7,2.027181113859163e7,3.8868978636638937e6,2.5461987311625527e6,974808.0900316053,7.629363061325236e7,5.216417564956181e7,1.9970970769357506e7
16S,A1-2,6,1.9463878597003714,4.788238923487252e7,7.695440614295171e7,2.7308163996789113e7,5.662513292711482e6,7.766206514916865e6,2.7559285006802217e6,4.68464451693337e7,7.785707050307962e7,2.762848491947467e7
16S,A3-4,6,1.9190045619892757,5.489796928238814e7,1.1207010849888957e8,4.290586083418436e7,5.204105874206502e6,7.374697753867754e6,2.823391176825327e6,5.5794611587459296e7,1.1212976536016035e8,4.2928700367595844e7
ITS,A3-5,6,1.9753101046231136,8.689397640530665e7,4.3127056889052e7,1.6398120490133842e7,4.2608596885328395e6,982943.9025482783,373742.92872558086,8.647464860541654e7,4.336119412814792e7,1.6487146056330008e7
16S,A3-5,6,2.060414021266845,4.191097352498717e7,4.191097352498717e7,1.5935731378322119e7,3.4683591598713263e6,3.4683591598713263e6,1.3187677413959415e6,4.253038469741733e7,4.253038469741733e7,1.6171248934379213e7
ITS,A3-6,6,1.9098217157686102,5.2878521738928206e7,5.260450546428981e7,1.9986514234152663e7,1.7434102674095947e6,1.7354392308748106e6,659361.4099068429,5.265219526344143e7,5.237929404357781e7,1.9900947584945977e7
16S,A3-6,6,1.9878243310051176,4.491552085399725e7,5.0005292019925006e7,1.899897113219035e7,1.6242295634615754e6,1.61252564714106e6,612661.7200383975,4.466064834812692e7,4.973434393566905e7,1.889602733118125e7
ITS,A3-7,6,1.8574749504059251,5.7233194806385465e7,1.027102467846676e8,3.947357678119431e7,2.811966268869129e6,2.7804481687397007e6,1.0685811563181002e6,5.625755849272977e7,1.02608745099468e8,3.943456767850423e7
16S,A3-7,6,2.0521484683809756,3.424104178560583e7,3.424104178560583e7,1.3159508756958427e7,1.4436443226965815e6,1.4436443226965815e6,554821.0310132905,3.372678507159069e7,3.372678507159069e7,1.29618697431171e7
ITS,A3-8,6,1.8591732020362024,6.997275980449973e7,1.2214750170698802e8,4.605863563611916e7,5.185805165732735e6,7.797841122154854e6,2.9403624140855414e6,7.094868355395949e7,1.2285080570205078e8,4.632383322098445e7
16S,A3-8,6,2.015079797487188,4.509649128491238e7,4.509649128491238e7,1.7004710137598936e7,856494.7277340108,856494.7277340108,322961.81287104473,4.5226309136273146e7,4.5226309136273146e7,1.7053661061943118e7
ITS,A1-7,6,1.8224225545039223,6.5011735810725905e7,1.730751795100006e8,5.484004420468966e7,5.87290313021898e6,9.341124600118268e6,2.9597986692389944e6,6.436169790295484e7,1.7347125877713072e8,5.496554460618844e7
ITS,A5-2,6,1.8392905413423,6.046645365763056e7,1.3325071092251945e8,4.742018182296065e7,3.451281706012738e6,2.3154403071427094e6,824000.1093034544,6.024969579139376e7,1.3411264080573556e8,4.772691843620482e7
16S,A1-7,6,2.009466406615037,4.545827961761749e7,4.545827961761749e7,1.4403764137394639e7,3.8211670092595993e6,3.8211670092595993e6,1.2107626772051959e6,4.551298136761832e7,4.551298136761832e7,1.4421096757800482e7
16S,A5-2,6,1.990667834982614,4.6956135498439185e7,5.0964985289693125e7,1.8137005441171933e7,1.052841650861958e6,918988.7536230391,327042.26107581414,4.68469583146892e7,5.0850489028637566e7,1.8096259440796286e7
ITS,A1-8,6,1.9232659353415418,4.9281895311160006e7,4.2165704854072414e7,1.6032587396985708e7,1.7180492946706936e6,1.4107806710652972e6,536418.506108478,4.9217464268939376e7,4.2493601913661346e7,1.6157263085042339e7
