Well,Target,Content,Replicate,Sample,Dilution,Cq,PlateID,Concentration,Efficiency,TCN,CqAdjusted,AdjustedTCN,mg,TCN_mg,AdjustedTCN_mg
A07,ITS,Unkn,33,S3-5,100,21.0149949426979,plate 2,0.01,1.9928449445226508,2.700155312608887e7,20.906336156495758,1.0972695629889462e7,171.4,7.876765789407487e6,3.2009030425581858e6
A08,ITS,Unkn,33,S3-5,100,21.0191511870784,plate 2,0.01,1.9928449445226508,2.692907310817698e7,20.9104709108654,1.0941292978751626e7,171.4,7.855622260261662e6,3.1917424092040914e6
A09,ITS,Unkn,33,S3-5,100,20.9542395221766,plate 2,0.01,1.9928449445226508,2.8083599148479365e7,20.845894874058576,1.1442158818280997e7,171.4,8.192415154165508e6,3.337852630770419e6
A10,ITS,Unkn,45,S3-5,200,21.8762706838257,plate 2,0.005,1.9928449445226508,3.0939782392868284e7,21.76315864046735,1.211752877118107e7,171.4,9.025607465830887e6,3.5348683696560874e6
A11,ITS,Unkn,45,S3-5,200,22.1045761763001,plate 2,0.005,1.9928449445226508,2.6692817971966714e7,21.99028367119226,1.0352437387907114e7,171.4,7.786703025661234e6,3.019964232178271e6
A12,ITS,Unkn,45,S3-5,200,22.0231310197601,plate 2,0.005,1.9928449445226508,2.813645965073421e7,21.90925962975963,1.0950483102939377e7,171.4,8.207835370692592e6,3.1944233089088025e6
A19,16S,Unkn,89,S3-5,100,15.4910311618429,plate 2,0.01,1.9009170295913114,8.048837092398514e7,14.355469847509728,1.7742438458990827e8,171.4,2.3479688134184692e7,5.175740507290205e7
A20,16S,Unkn,89,S3-5,100,15.3562961363939,plate 2,0.01,1.9009170295913114,8.840229377372605e7,14.2306114972147,1.9353431744311672e8,171.4,2.5788300400736883e7,5.645691874069916e7
A21,16S,Unkn,89,S3-5,100,15.4526662025123,plate 2,0.01,1.9009170295913114,8.266675003717472e7,14.31991720991463,1.8186991733038124e8,171.4,2.4115154619945947e7,5.3054234927182384e7
A22,16S,Unkn,101,S3-5,200,16.4563171889326,plate 2,0.005,1.9009170295913114,8.221615835569923e7,15.249996126059939,1.903829364951822e8,171.4,2.3983710138768733e7,5.553761274655256e7
A23,16S,Unkn,101,S3-5,200,16.5201884637998,plate 2,0.005,1.9009170295913114,7.864097593844463e7,15.309185353097103,1.8269855759814718e8,171.4,2.2940774777842656e7,5.329596195978622e7
A24,16S,Unkn,101,S3-5,200,16.5607969698486,plate 2,0.005,1.9009170295913114,7.64491997406259e7,15.34681707548185,1.779750196037194e8,171.4,2.230140015770884e7,5.191803372337205e7
C01,ITS,Unkn,3,S1-4,100,20.5401452185066,plate 2,0.01,1.9260939911651063,3.670768646992323e7,19.42436564267115,3.0650030419458933e7,143.3,1.2807985509394009e7,1.0694358136587206e7
C02,ITS,Unkn,3,S1-4,100,20.5192988252089,plate 2,0.01,1.9260939911651063,3.720591746595679e7,19.404651664924753,3.1071728147402156e7,143.3,1.298182744799609e7,1.0841496213329433e7
C03,ITS,Unkn,3,S1-4,100,20.5479394065826,plate 2,0.01,1.9260939911651063,3.652312297265025e7,19.431736435694543,3.049383739141111e7,143.3,1.2743587917882154e7,1.0639859522474218e7
C04,ITS,Unkn,19,S1-4,200,21.5763293049524,plate 2,0.005,1.9260939911651063,3.756297989683171e7,20.40426224778891,3.108011626561341e7,143.3,1.3106413083332768e7,1.0844422981721357e7
C05,ITS,Unkn,19,S1-4,200,21.5961719684008,plate 2,0.005,1.9260939911651063,3.708403180427803e7,20.423027020191732,3.06784826279915e7,143.3,1.2939299303655976e7,1.07042856343306e7
C06,ITS,Unkn,19,S1-4,200,21.6072089745908,plate 2,0.005,1.9260939911651063,3.682027649315165e7,20.433464475309716,3.0457334172270622e7,143.3,1.2847270234874964e7,1.0627122879368674e7
C13,16S,Unkn,59,S1-4,100,14.9548974115792,plate 2,0.01,1.9300628928765668,1.1689780674321274e8,14.186931423107977,1.9950899041991538e8,143.3,4.0787790210471995e7,6.961234836703257e7
C14,16S,Unkn,59,S1-4,100,14.8778192627429,plate 2,0.01,1.9300628928765668,1.2334089239094925e8,14.113811402176639,2.0992620381238395e8,143.3,4.303590104359709e7,7.324710530787995e7
C15,16S,Unkn,59,S1-4,100,14.8874509701705,plate 2,0.01,1.9300628928765668,1.2251673688232481e8,14.122948500814106,2.0859529456757167e8,143.3,4.2748338060825124e7,7.278272664604734e7
C16,16S,Unkn,75,S1-4,200,15.8955703896548,plate 2,0.005,1.9300628928765668,1.214705309835456e8,15.079298830536422,2.1440248333856133e8,143.3,4.238329762161396e7,7.480896138819306e7
C17,16S,Unkn,75,S1-4,200,15.9778792786042,plate 2,0.005,1.9300628928765668,1.1470674442037535e8,15.157380981881253,2.030605592789896e8,143.3,4.002328835323634e7,7.085155592428109e7
